100 3
15.000 0.000 0.132 0.756
15.355 0.459 0.533 0.219
16.923 0.047 0.679 0.679
17.569 0.935 0.384 0.519
12.955 0.831 0.035 0.053
14.910 0.530 0.671 0.008
13.732 0.383 0.067 0.417
19.387 0.687 0.589 0.930
15.806 0.846 0.527 0.092
17.249 0.654 0.416 0.701
17.855 0.910 0.762 0.262
15.254 0.047 0.736 0.328
20.433 0.633 0.756 0.991
17.585 0.365 0.247 0.983
18.769 0.723 0.753 0.652
17.871 0.073 0.632 0.885
16.539 0.273 0.436 0.766
13.921 0.478 0.238 0.275
14.662 0.359 0.167 0.487
17.493 0.898 0.909 0.061
18.127 0.905 0.505 0.516
17.930 0.319 0.987 0.494
16.639 0.266 0.091 0.948
14.461 0.074 0.501 0.384
17.271 0.277 0.914 0.530
15.936 0.464 0.941 0.050
19.815 0.762 0.770 0.828
14.470 0.125 0.016 0.688
19.322 0.868 0.630 0.736
21.048 0.725 0.999 0.889
13.939 0.233 0.306 0.351
18.504 0.513 0.591 0.846
16.342 0.412 0.842 0.269
16.182 0.415 0.537 0.468
12.819 0.287 0.178 0.154
15.478 0.572 0.802 0.033
18.653 0.534 0.498 0.955
18.995 0.748 0.555 0.891
16.411 0.625 0.842 0.160
14.403 0.213 0.715 0.130
12.058 0.091 0.275 0.003
15.576 0.414 0.027 0.710
15.192 0.938 0.240 0.181
18.489 0.318 0.887 0.652
15.826 0.150 0.681 0.386
14.845 0.388 0.500 0.148
18.555 0.587 0.846 0.590
16.772 0.955 0.556 0.148
15.616 0.983 0.409 0.142
15.606 0.565 0.252 0.489
16.384 0.464 0.961 0.126
15.684 0.200 0.319 0.629
16.495 0.127 0.651 0.622
16.388 0.803 0.248 0.476
13.109 0.389 0.203 0.028
15.272 0.902 0.426 0.142
15.810 0.947 0.410 0.131
14.180 0.886 0.092 0.162
13.482 0.071 0.365 0.253
16.337 0.135 0.783 0.455
17.732 0.350 0.452 0.809
16.493 0.932 0.652 0.215
17.199 0.680 0.909 0.250
17.640 0.861 0.471 0.506
19.397 0.600 0.818 0.756
19.274 0.462 0.951 0.633
18.328 0.439 0.825 0.689
21.797 0.702 0.987 0.954
16.645 0.851 0.289 0.537
14.871 0.514 0.103 0.414
18.131 0.577 0.877 0.440
19.700 0.730 0.869 0.716
19.754 0.801 0.707 0.742
16.248 0.019 0.886 0.525
15.379 0.463 0.065 0.713
18.255 0.489 0.668 0.682
19.302 0.200 0.917 0.866
15.978 0.890 0.544 0.139
16.969 0.450 0.989 0.216
15.926 0.446 0.316 0.515
17.733 0.882 0.440 0.468
15.634 0.807 0.365 0.212
17.044 0.999 0.154 0.630
12.610 0.616 0.001 0.001
16.996 0.773 0.727 0.319
17.390 0.418 0.682 0.681
18.002 0.205 0.836 0.709
13.353 0.829 0.095 0.082
16.043 0.764 0.630 0.214
13.812 0.214 0.081 0.389
19.379 0.952 0.948 0.390
15.743 0.269 0.692 0.284
18.015 0.777 0.784 0.422
11.685 0.282 0.194 0.011
16.313 0.192 0.983 0.244
15.514 0.820 0.136 0.398
16.719 0.601 0.177 0.828
16.255 0.158 0.988 0.257
12.594 0.234 0.102 0.219
18.878 0.635 0.696 0.795
